,创建时间,地址,岗位,学历,工作经验,薪资水平
505,2021-12-27 15:57:17,北京-海淀区,Python开发工程师,本科,1年经验,1-1.5万/月
506,2021-12-27 15:53:05,苏州-高新区,Python开发工程师,本科,1年经验,0.5-1万/月
507,2021-12-27 15:52:41,南京-栖霞区,Python开发工程师,大专,3-4年经验,1.5-2万/月
508,2021-12-27 15:50:05,上海-长宁区,Python开发工程师,本科,1年经验,1.5-2万/月
509,2021-12-27 15:49:40,深圳-罗湖区,Python开发工程师,本科,5-7年经验,1.5-2万/月
510,2021-12-27 15:36:15,广州-天河区,中级Python开发工程师,本科,2年经验,1-1.5万/月
511,2021-12-27 15:25:34,苏州-相城区,软件工程师（Python）,本科,无需经验,1-1.5万/月
512,2021-12-27 15:24:24,广州-越秀区,Python开发工程师,大专,1年经验,0.7-1.4万/月
513,2021-12-27 15:24:22,深圳-福田区,python开发工程师,大专,3-4年经验,1.5-2.5万/月
514,2021-12-27 15:20:57,长沙-芙蓉区,python算法工程师,本科,3-4年经验,0.8-1.5万/月
515,2021-12-27 15:18:50,杭州-拱墅区,Python开发工程师,大专,3-4年经验,1-1.5万/月
516,2021-12-27 15:16:39,深圳-南山区,Python开发工程师,本科,2年经验,1-1.5万/月
517,2021-12-27 15:16:05,成都-高新区,Python开发初级工程师,大专,1年经验,4-6千/月
518,2021-12-27 15:13:30,上海-闵行区,服务端开发工程师(python/go)(006779),本科,3-4年经验,1-2万/月
519,2021-12-27 15:07:49,深圳-福田区,中高级Python开发工程师,本科,3-4年经验,1.2-1.8万/月
520,2021-12-27 15:00:15,北京-朝阳区,python中高级开发工程师,本科,5-7年经验,1.8-2.8万/月
521,2021-12-27 15:00:05,无锡,西门子中国研究院 Python工程师,本科,无需经验,1.5-2万/月
522,2021-12-27 14:58:37,北京,Python开发工程师,本科,1年经验,1-2万/月
523,2021-12-27 14:57:49,上海-徐汇区,Python开发工程师,大专,3-4年经验,1.6-2.5万/月
524,2021-12-27 14:49:04,广州-天河区,Python高级开发工程师,招1人,2年经验,1-2万/月
525,2021-12-27 14:39:15,深圳-宝安区,Python高级开发工程师,本科,5-7年经验,1.8-3万/月
526,2021-12-27 14:35:23,上海-徐汇区,Python开发工程师,本科,1年经验,1.2-2万/月
527,2021-12-27 14:34:43,苏州,Python开发工程师,大专,无需经验,6-8千/月
528,2021-12-27 14:29:27,宁波-鄞州区,Python开发工程师,大专,1年经验,0.9-1.4万/月
529,2021-12-27 14:20:47,南京-鼓楼区,Python开发工程师,本科,1年经验,0.6-1.2万/月
530,2021-12-27 14:19:01,成都,Python开发工程师,大专,1年经验,0.8-1万/月
531,2021-12-27 14:11:38,上海-徐汇区,Python工程师,大专,2年经验,1-1.5万/月
532,2021-12-27 14:03:48,深圳,Python工程师 (MJ000993),本科,3-4年经验,1.5-3万/月
533,2021-12-27 14:01:56,昆明-盘龙区,Python开发工程师,本科,1年经验,6-8千/月
534,2021-12-27 14:00:01,武汉-汉阳区,python研发工程师,本科,2年经验,1.5-2.5万/月
535,2021-12-27 13:58:53,昆明-西山区,Python开发工程师,大专,3-4年经验,0.8-1.2万/月
536,2021-12-27 13:49:22,上海-浦东新区,python开发工程师,大专,2年经验,2-2.5万/月
537,2021-12-27 13:47:52,上海-浦东新区,Python高级开发工程师,大专,3-4年经验,2.5-3万/月
538,2021-12-27 13:45:03,莆田,Python开发工程师,大专,2年经验,0.6-1.2万/月
539,2021-12-27 13:44:32,上海,Python开发工程师,大专,无需经验,6-8千/月
540,2021-12-27 13:44:02,深圳-福田区,Python开发工程师,大专,3-4年经验,1.5-2万/月
541,2021-12-27 13:35:18,上海-黄浦区,Python工程师,本科,1年经验,1.5-2万/月
542,2021-12-27 13:33:12,广州,Python开发工程师,本科,5-7年经验,1.7-2.4万/月
543,2021-12-27 13:25:07,上海-浦东新区,Python开发工程师,本科,3-4年经验,1.6-2.5万/月
544,2021-12-27 13:18:21,无锡-无锡新区,Python开发工程师,本科,2年经验,1-1.5万/月
545,2021-12-27 13:17:39,上海-静安区,python爬虫工程师,大专,3-4年经验,1.5-2万/月
546,2021-12-27 13:11:40,北京-朝阳区,Python开发工程师(图像算法/系统研发/数据分析),大专,2年经验,1.5-3万/月
547,2021-12-27 13:09:50,上海-浦东新区,Python开发工程师,本科,2年经验,1.2-1.8万/月
548,2021-12-27 12:44:00,北京-朝阳区,Python后端开发,大专,3-4年经验,0.9-1.5万/月
549,2021-12-27 12:40:01,杭州,Python开发工程师,大专,2年经验,1-1.5万/月
550,2021-12-27 12:34:25,上海-浦东新区,Python开发工程师,本科,1年经验,1-1.5万/月
551,2021-12-27 12:34:14,杭州,Python开发工程师,大专,3-4年经验,1-1.5万/月
552,2021-12-27 12:31:51,上海-青浦区,Python开发工程师,大专,1年经验,0.8-1.5万/月
553,2021-12-27 12:13:08,珠海-珠海高新区,Python高级开发工程师,本科,3-4年经验,1.5-2万/月
554,2021-12-27 12:09:26,苏州-工业园区,Python开发工程师,大专,3-4年经验,1.2-1.7万/月
555,2021-12-27 11:58:39,东莞-东城区,Python开发工程师,大专,2年经验,0.9-1.2万/月
556,2021-12-27 11:47:43,温州,Python高级开发工程师,大专,3-4年经验,0.8-1.5万/月
557,2021-12-27 11:41:08,杭州,软件开发工程师(Python/Shell)(平台类),本科,1年经验,0.7-1.4万/月
558,2021-12-27 11:39:36,深圳-福田区,Python初级开发工程师,大专,2年经验,6-8千/月
559,2021-12-27 11:31:03,深圳-南山区,后台python工程师,本科,5-7年经验,2-2.5万/月
560,2021-12-27 11:30:37,上海-浦东新区,Python后端开发工程师,本科,3-4年经验,1.2-1.8万/月
561,2021-12-27 11:29:09,深圳,Python开发工程师,本科,1年经验,1.2-1.8万/月
562,2021-12-27 11:28:38,上海,Python 开发工程师-数据汇聚、爬虫方向,本科,3-4年经验,1.5-2万/月
563,2021-12-27 11:27:03,长沙-开福区,Python开发工程师 (MJ001078),大专,3-4年经验,0.8-1.5万/月
564,2021-12-27 11:16:01,深圳-福田区,Python开发工程师（SZ01）,本科,3-4年经验,1.2-1.7万/月
565,2021-12-27 11:15:32,广州-天河区,python开发工程师(J10541),本科,1年经验,1.2-1.7万/月
566,2021-12-27 11:10:27,广州-天河区,年薪25万Python工程师,本科,3-4年经验,20-30万/年
567,2021-12-27 11:07:57,成都-高新区,Python/Go开发工程师（成都） (MJ004268),本科,2年经验,1.2-2.4万/月
568,2021-12-27 11:06:42,深圳-福田区,Python开发工程师,本科,2年经验,0.9-1.2万/月
569,2021-12-27 11:03:19,上海-浦东新区,python爬虫工程师（甲方+双休）,本科,3-4年经验,1.5-2万/月
570,2021-12-27 11:02:42,上海-嘉定区,软件工程师（python）,本科,3-4年经验,1.5-2.5万/月
571,2021-12-27 11:01:21,武汉-洪山区,高级开发工程（C++，python）,大专,3-4年经验,10-12万/年
572,2021-12-27 11:00:01,成都-高新区,python后端开发工程师,本科,1年经验,0.8-1.3万/月
573,2021-12-27 10:58:49,广州-天河区,Python开发工程师,本科,1年经验,0.6-1.6万/月
574,2021-12-27 10:58:26,上海-杨浦区,Python开发/Odoo工程师,大专,1年经验,1-2万/月
575,2021-12-27 10:57:52,西安-高新技术产业开发区,高级python软件工程师,本科,5-7年经验,2.5-3万/月
576,2021-12-27 10:53:12,上海-徐汇区,Python开发工程师,大专,3-4年经验,0.8-1.5万/月
577,2021-12-27 10:51:58,苏州,场景开发Python初级工程师,本科,无需经验,0.6-1.2万/月
578,2021-12-27 10:47:21,北京-海淀区,Python开发工程师,本科,3-4年经验,1.2-2.5万/月
579,2021-12-27 10:46:32,成都,Python开发工程师,本科,2年经验,7-9千/月
580,2021-12-27 10:45:20,郑州-金水区,高级开发（Python/Java）,本科,3-4年经验,1-1.5万/月
581,2021-12-27 10:44:13,深圳-福田区,Python开发工程师（提供食宿）,本科,无需经验,1-1.8万/月
582,2021-12-27 10:43:14,重庆-渝北区,Python采集工程师,本科,1年经验,6-8千/月
583,2021-12-27 10:41:26,深圳-南山区,Python开发工程师,本科,2年经验,1-1.6万/月
584,2021-12-27 10:37:14,武汉-东湖新技术产业开发区,Python开发工程师,大专,2年经验,6-8千/月
585,2021-12-27 10:34:17,广州-越秀区,Python开发工程师,本科,1年经验,0.8-1.6万/月
586,2021-12-27 10:34:05,宁波-海曙区,Python开发工程师,本科,3-4年经验,1.5-2万/月
587,2021-12-27 10:33:49,南宁,Python开发工程师,本科,5-7年经验,0.7-1万/月
588,2021-12-27 10:33:17,成都,Python开发工程师,大专,2年经验,1-1.2万/月
589,2021-12-27 10:33:17,上海-长宁区,Python开发工程师,大专,1年经验,0.8-1万/月
590,2021-12-27 10:32:55,广州-天河区,运营商BU-Python 开发工程师-广州,本科,3-4年经验,1.2-1.8万/月
591,2021-12-27 10:28:06,深圳-南山区,Python开发工程师,本科,2年经验,1.5-2.5万/月
592,2021-12-27 10:25:19,南京-鼓楼区,Python高级开发工程师,大专,3-4年经验,1-2万/月
593,2021-12-27 10:25:15,上海-徐汇区,Python开发工程师,本科,3-4年经验,1.1-2万/月
594,2021-12-27 10:25:01,广州-天河区,手游服务端开发-c/python,本科,1年经验,1-1.5万/月
595,2021-12-27 10:24:17,珠海,Python开发工程师,本科,3-4年经验,1-1.5万/月
596,2021-12-27 10:23:50,佛山-高明区,Python开发工程师,本科,1年经验,0.6-1万/月
597,2021-12-27 10:22:07,北京-海淀区,Python开发工程师,本科,2年经验,1.3-1.8万/月
598,2021-12-27 10:21:32,深圳-龙华区,Python开发工程师,本科,2年经验,1.2-2万/月
599,2021-12-27 10:17:49,成都-金牛区,Python算法工程师,大专,3-4年经验,1-1.6万/月
600,2021-12-27 10:16:05,深圳-南山区,Python开发工程师,大专,3-4年经验,1.2-2万/月
601,2021-12-27 10:15:30,长沙-岳麓区,Python开发工程师,大专,2年经验,0.8-1.5万/月
602,2021-12-27 10:14:35,深圳-福田区,Python开发工程师,本科,1年经验,1.2-1.7万/月
603,2021-12-27 10:14:31,南昌-东湖区,python爬虫工程师,大专,1年经验,0.5-1万/月
604,2021-12-27 10:06:40,广州,Python开发工程师,大专,1年经验,1-1.5万/月
605,2021-12-27 10:06:07,大连-沙河口区,python开发工程师（python运维实施工程师）,大专,2年经验,1-1.5万/月
606,2021-12-27 10:03:04,苏州-工业园区,Python开发工程师,本科,3-4年经验,1.5-2万/月
607,2021-12-27 10:00:01,上海-嘉定区,python软件开发,本科,3-4年经验,1-1.5万/月
608,2021-12-27 10:00:14,南京-雨花台区,Python高级开发工程师,本科,3-4年经验,1.5-2万/月
609,2021-12-27 09:59:06,杭州-西湖区,python（硬件方向）,大专,2年经验,1.3-1.7万/月
610,2021-12-27 09:56:40,深圳-龙华区,Python工程师,本科,2年经验,1.5-2万/月
611,2021-12-27 09:55:30,广州,Python开发工程师,本科,3-4年经验,1-1.8万/月
612,2021-12-27 09:53:06,深圳-南山区,中级Python开发工程师,本科,2年经验,1-1.5万/月
613,2021-12-27 09:51:34,重庆-江北区,Python开发工程师,本科,3-4年经验,0.8-1.2万/月
614,2021-12-27 09:51:13,成都,python工程师,本科,3-4年经验,0.8-1.5万/月
615,2021-12-27 09:49:21,武汉-洪山区,Python开发工程师,本科,2年经验,1-1.5万/月
616,2021-12-27 09:49:08,苏州-工业园区,Python开发工程师,大专,1年经验,0.9-1.6万/月
617,2021-12-27 09:48:41,南京,Python开发工程师,大专,3-4年经验,15-20万/年
618,2021-12-27 09:44:49,成都-锦江区,C++/Python工程师（可视化方向）,硕士,无需经验,20-30万/年
619,2021-12-27 09:43:48,上海-浦东新区,Python开发工程师,本科,3-4年经验,1.5-2万/月
620,2021-12-27 09:42:07,北京-朝阳区,Python开发工程师,本科,3-4年经验,1.5-2万/月
621,2021-12-27 09:41:37,珠海-香洲区,Python开发工程师,大专,1年经验,0.8-1.5万/月
622,2021-12-27 09:39:26,武汉,Python开发工程师,本科,2年经验,0.8-1.5万/月
623,2021-12-27 09:39:02,福州,Python开发工程师,本科,3-4年经验,1.3-2.1万/月
624,2021-12-27 09:38:19,上海-杨浦区,Python开发工程师,大专,2年经验,1.5-3万/月
625,2021-12-27 09:32:44,成都,Online Programmer (Python),本科,3-4年经验,1.1-2万/月
626,2021-12-27 09:32:37,上海-静安区,Python开发工程师,本科,1年经验,1.3-2.5万/月
627,2021-12-27 09:30:29,苏州-高新区,JAVA/Python开发工程师,本科,2年经验,0.6-1万/月
628,2021-12-27 09:29:13,襄阳,python数据分析工程师,本科,3-4年经验,0.6-1万/月
629,2021-12-27 09:28:04,广州-白云区,Python开发工程师,本科,1年经验,1-1.5万/月
630,2021-12-27 09:25:38,广州-天河区,大数据算法工程师Python,本科,3-4年经验,2-2.5万/月
631,2021-12-27 09:24:29,杭州-余杭区,python后端开发,本科,3-4年经验,1.5-2.5万/月
632,2021-12-27 09:24:06,成都-高新区,高级python开发工程师,本科,2年经验,9-18万/年
633,2021-12-27 09:22:12,大连-高新园区,Python开发工程师,大专,3-4年经验,0.7-1.2万/月
634,2021-12-27 09:22:08,东莞,Senior Python Developer-高级Python开发,本科,5-7年经验,1.2-1.8万/月
635,2021-12-27 09:21:35,北京-朝阳区,Python开发工程师,本科,1年经验,0.8-1.2万/月
636,2021-12-27 09:19:14,苏州-相城区,Python开发工程师,本科,2年经验,1-1.5万/月
637,2021-12-27 09:18:01,杭州-江干区,Python软件开发工程师,本科,3-4年经验,1.5-2万/月
638,2021-12-27 09:13:00,成都-锦江区,python后端开发工程师,本科,1年经验,1-1.2万/月
639,2021-12-27 09:12:31,苏州,Python高级开发工程师,大专,3-4年经验,0.9-1.5万/月
640,2021-12-27 09:11:41,武汉-洪山区,Python开发工程师,本科,2年经验,1-1.5万/月
641,2021-12-27 09:10:53,济南-高新区,Python开发工程师,本科,无需经验,0.6-1.2万/月
642,2021-12-27 09:07:01,北京-朝阳区,python后端开发工程师,本科,3-4年经验,1.5-2.5万/月
643,2021-12-27 09:01:48,杭州-西湖区,python工程师,本科,2年经验,1.5-3万/月
644,2021-12-27 09:00:01,成都-青羊区,Python开发工程师,招2人,1年经验,0.7-1.2万/月
645,2021-12-27 08:58:42,武汉,Python开发工程师,本科,1年经验,0.7-1.2万/月
646,2021-12-27 08:55:06,南京,平台软件工程师（C/C++/python）,本科,2年经验,1.2-2.2万/月
647,2021-12-27 08:55:01,温州-鹿城区,Python高级开发工程师,大专,2年经验,0.7-1万/月
648,2021-12-27 08:49:12,东莞-厚街镇,Python开发工程师,大专,2年经验,1.5-2.2万/月
649,2021-12-27 08:44:59,上海-松江区,Python开发工程师,本科,2年经验,1-2万/月
650,2021-12-27 08:42:52,重庆-沙坪坝区,python 工程师,本科,3-4年经验,0.8-1万/月
651,2021-12-27 08:35:45,上海-嘉定区,Python开发工程师,大专,2年经验,1.5-2万/月
652,2021-12-27 08:34:49,无锡-滨湖区,Python开发工程师,本科,无需经验,0.5-1万/月
653,2021-12-27 08:28:35,合肥-高新区,Python开发工程师,本科,无需经验,0.8-1.5万/月
654,2021-12-27 08:25:17,珠海,python工程师,大专,1年经验,1-1.5万/月
655,2021-12-27 08:07:26,合肥,Python高级开发工程师,本科,3-4年经验,1.5-2.5万/月
656,2021-12-27 07:57:48,上海-杨浦区,Python开发工程师,大专,3-4年经验,1.1-1.8万/月
657,2021-12-27 04:00:32,广州,Python开发工程师,本科,2年经验,4.5-6千/月
658,2021-12-26 19:09:39,北京-海淀区,Python数据爬虫工程师,本科,2年经验,1.2-1.5万/月
659,2021-12-26 16:00:01,上海-浦东新区,Python开发工程师,本科,3-4年经验,2-4万/月
660,2021-12-26 14:11:36,上海,Python/Odoo开发工程师,大专,2年经验,0.8-1.5万/月
661,2021-12-26 14:00:01,上海-黄浦区,Python开发工程师,大专,2年经验,1.2-1.7万/月
662,2021-12-26 13:00:01,北京-海淀区,Python开发工程师,大专,2年经验,0.8-1.5万/月
663,2021-12-26 12:29:12,上海-浦东新区,Python开发工程师,大专,3-4年经验,1-1.5万/月
664,2021-12-26 11:00:01,广州-荔湾区,Python爬虫工程师（大小周 近地铁）,大专,2年经验,6-9千/月
665,2021-12-26 11:00:01,上海-闵行区,python开发工程师,本科,2年经验,0.8-1.6万/月
666,2021-12-26 11:00:01,杭州-萧山区,Python研发工程师,本科,3-4年经验,1.5-3万/月
667,2021-12-26 10:00:01,南昌-青山湖区,后端开发工程师(Python),本科,2年经验,0.6-1万/月
668,2021-12-26 08:54:03,无锡,python开发工程师,本科,3-4年经验,1-1.5万/月
669,2021-12-26 08:29:51,上海-浦东新区,Python开发工程师,大专,1年经验,1.5-2万/月
670,2021-12-25 21:12:39,武汉,Python开发工程师,本科,1年经验,0.8-1.5万/月
671,2021-12-25 18:00:01,长沙-开福区,Python开发工程师,本科,3-4年经验,1.2-2万/月
672,2021-12-25 17:24:42,宁波,Python开发工程师,大专,3-4年经验,1-1.5万/月
673,2021-12-25 17:19:06,海口,python大数据分析工程师,本科,3-4年经验,0.8-1.6万/月
674,2021-12-25 17:00:01,武汉-江岸区,初级python程序员,大专,3-4年经验,0.8-1万/月
675,2021-12-25 16:00:01,上海-浦东新区,Python开发工程师,本科,3-4年经验,1.5-2万/月
676,2021-12-25 16:55:10,上海-徐汇区,Python Web开发工程师,本科,3-4年经验,2-3.5万/月
677,2021-12-25 14:00:01,上海-普陀区,Python后端研发工程师,本科,1年经验,0.8-1万/月
678,2021-12-25 13:00:01,上海,Python后端开发 Backend Developer,本科,3-4年经验,2.4-3.2万/月
679,2021-12-25 12:00:01,西安-高新技术产业开发区,Python开发工程师,本科,3-4年经验,0.8-1.5万/月
680,2021-12-25 11:00:01,上海-浦东新区,后端python开发（英语好）上海/西安,本科,2年经验,2-4万/月
681,2021-12-25 11:00:01,深圳-宝安区,Python开发工程师,本科,2年经验,15-20万/年
682,2021-12-25 10:00:01,苏州-工业园区,python开发工程师,本科,3-4年经验,1-2万/月
683,2021-12-25 10:26:12,深圳-光明区,python开发助理/实习生,大专,无需经验,6-8千/月
684,2021-12-25 09:57:17,赣州,Python开发工程师,大专,2年经验,6-9千/月
685,2021-12-25 09:57:04,深圳-龙华区,Python开发工程师,大专,3-4年经验,0.6-1.2万/月
686,2021-12-25 09:00:01,西安-西咸新区,Web后台开发工程师（Python）,本科,3-4年经验,1-1.5万/月
687,2021-12-25 09:00:01,北京-昌平区,Python开发工程师,本科,3-4年经验,0.8-1.5万/月
688,2021-12-25 09:00:01,中山,Python开发工程师,本科,3-4年经验,0.8-1.5万/月
689,2021-12-25 09:00:01,南京-江宁区,中高级Python开发工程师,本科,3-4年经验,1.5-2万/月
690,2021-12-25 09:45:58,上海-松江区,Python后台开发工程师,本科,2年经验,2-2.5万/月
691,2021-12-25 08:50:03,苏州-工业园区,Python开发工程师,本科,5-7年经验,1.2-2万/月
692,2021-12-25 08:31:08,上海-浦东新区,Python开发工程师,本科,5-7年经验,1.2-1.8万/月
693,2021-12-25 04:00:40,福州-闽侯县,Python开发工程师,本科,1年经验,0.8-1.3万/月
694,2021-12-24 20:53:29,广州-天河区,高级Python开发项目经理,本科,5-7年经验,2-2.5万/月
695,2021-12-24 18:55:42,深圳-福田区,Python开发工程师,本科,1年经验,0.8-1.6万/月
696,2021-12-24 18:35:30,武汉-洪山区,Python高级开发工程师[J832045],本科,3-4年经验,1.2-2万/月
697,2021-12-24 18:20:54,深圳-龙华区,Python软件工程师,本科,2年经验,1.2-2万/月
698,2021-12-24 17:30:44,深圳-南山区,Python高级开发工程师,本科,5-7年经验,2-3千/月
699,2021-12-24 16:45:14,深圳-南山区,Python开发工程师,本科,3-4年经验,1.5-3万/月
700,2021-12-24 16:36:09,天津-西青区,Python开发工程师,大专,3-4年经验,1-1.5万/月
701,2021-12-24 16:00:33,广州-天河区,Software Engineer (Python),本科,3-4年经验,
702,2021-12-24 15:58:50,杭州-富阳区,Python开发工程师,本科,3-4年经验,1-1.8万/月
703,2021-12-24 15:47:58,南京-雨花台区,Python开发工程师,本科,3-4年经验,1.5-3万/月
704,2021-12-24 15:46:01,深圳-宝安区,Python数据专员/高薪双休,大专,1年经验,6-8千/月
705,2021-12-24 15:00:01,广州-海珠区,Python开发(琶洲地铁）,本科,3-4年经验,1.2-1.9万/月
706,2021-12-24 15:25:38,上海-虹口区,Python开发工程师,本科,3-4年经验,1.5-3万/月
707,2021-12-24 15:11:21,昆山,Python开发工程师,大专,2年经验,6-8千/月
708,2021-12-24 14:26:17,郑州,Python开发工程师,大专,2年经验,0.7-1.2万/月
709,2021-12-24 14:14:47,南京-江宁区,python软件开发工程师,本科,2年经验,1.8-2.2万/月
710,2021-12-24 13:52:55,深圳-南山区,Python开发工程师,大专,3-4年经验,1.5-2万/月
711,2021-12-24 13:48:22,杭州-滨江区,Python高级开发工程师,本科,3-4年经验,1.5-3万/月
712,2021-12-24 13:43:21,西安-莲湖区,python开发助理,大专,无需经验,4.5-6千/月
713,2021-12-24 13:36:56,深圳-南山区,python,本科,3-4年经验,1-1.5万/月
714,2021-12-24 12:17:58,北京-海淀区,Python开发工程师,本科,1年经验,0.8-1万/月
715,2021-12-24 11:00:01,珠海-香洲区,Python爬虫工程师,大专,1年经验,0.5-1万/月
716,2021-12-24 11:42:11,上海-普陀区,后台开发工程师/ Python 开发工程师,大专,2年经验,1-1.5万/月
717,2021-12-24 11:10:31,北京-朝阳区,Python爬虫工程师,本科,2年经验,1.5-3万/月
718,2021-12-24 10:51:31,上海-浦东新区,Python软件工程师（OpenStack）,本科,5-7年经验,1.5-3万/月
719,2021-12-24 10:16:40,重庆-江北区,Python工程师,大专,1年经验,0.8-1.2万/月
720,2021-12-24 10:00:01,武汉-洪山区,Python软件工程师,本科,1年经验,0.8-1.2万/月
721,2021-12-24 10:00:01,上海,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
722,2021-12-24 10:34:41,深圳-宝安区,Python开发工程师,大专,1年经验,1-2万/月
723,2021-12-24 10:29:42,深圳-福田区,Python高级开发工程师,本科,2年经验,2-2.5万/月
724,2021-12-24 10:19:09,北京-朝阳区,人工智能研究院-初级python开发工程师,本科,1年经验,1-1.5万/月
725,2021-12-24 10:07:00,成都-高新区,Python开发工程师,本科,3-4年经验,1-1.5万/月
726,2021-12-24 10:00:01,上海-浦东新区,python初级工程师,本科,1年经验,1.5-2.3万/月
727,2021-12-24 09:29:00,深圳-南山区,python爬虫高级工程师,本科,3-4年经验,1.6-2.5万/月
728,2021-12-24 09:56:55,上海-闵行区,高级软件开发工程师（Python）,本科,5-7年经验,
729,2021-12-24 09:55:57,北京-朝阳区,python研发工程师,本科,2年经验,1.2-1.8万/月
730,2021-12-24 09:46:09,广州-天河区,Python广告联盟后台功能开发高级工程师 20-30K,本科,3-4年经验,2.5-3万/月
731,2021-12-24 09:37:44,深圳-福田区,python后端开发工程师,本科,1年经验,0.9-1.8万/月
732,2021-12-24 09:36:18,长沙-岳麓区,python web开发讲师,大专,5-7年经验,1.5-2.5万/月
733,2021-12-24 09:34:49,长沙-芙蓉区,AI开发工程师（python）,本科,3-4年经验,1-1.5万/月
734,2021-12-24 09:18:02,苏州-相城区,Python开发工程师,大专,3-4年经验,0.8-1.5万/月
735,2021-12-24 09:12:46,北京-东城区,人工智能python工程师,本科,2年经验,15-20万/年
736,2021-12-24 09:07:39,温州,python开发工程师,本科,1年经验,0.6-1万/月
737,2021-12-24 09:06:52,武汉-东湖新技术产业开发区,Python开发工程师,本科,2年经验,1-1.5万/月
738,2021-12-24 09:04:54,北京-海淀区,Python开发工程师,大专,3-4年经验,1-2万/月
739,2021-12-24 09:01:01,广州-天河区,对日Python软件开发工程师,大专,2年经验,2-4万/月
740,2021-12-24 08:00:01,佛山-禅城区,Python开发工程师,大专,3-4年经验,10-15万/年
741,2021-12-24 08:51:16,成都-高新区,Python开发工程师,本科,2年经验,0.8-1.5万/月
742,2021-12-24 08:34:36,杭州-钱塘区,Python开发工程师/软件工程师,大专,2年经验,1.2-2万/月
743,2021-12-24 06:27:46,大连-沙河口区,Software Developer（python）,本科,2年经验,0.7-1.3万/月
744,2021-12-24 04:00:42,广州-天河区,python后端,高中,3-4年经验,1.5-2.5万/月
745,2021-12-24 04:00:42,厦门-思明区,Python开发工程师,大专,3-4年经验,1.5-2万/月
746,2021-12-23 19:00:25,上海-闵行区,高级Python  /  爬虫开发工程师,本科,1年经验,2-2.5万/月
747,2021-12-23 18:48:13,上海-松江区,python开发工程师,本科,3-4年经验,15-20万/年
748,2021-12-23 18:00:32,上海-闵行区,Python开发工程师—电商项目,大专,3-4年经验,1.5-2万/月
749,2021-12-23 16:46:22,上海-徐汇区,Python后端开发工程师,本科,1年经验,1.2-1.6万/月
750,2021-12-23 16:53:17,广州,Python开发工程师,本科,2年经验,1.2-1.8万/月
751,2021-12-23 16:51:37,珠海-珠海高新区,Python开发工程师,本科,2年经验,0.8-1.6万/月
752,2021-12-23 16:21:05,上海-徐汇区,Python服务端开发工程师,本科,2年经验,1.5-2万/月
753,2021-12-23 16:15:01,北京-朝阳区,Python开发工程师,本科,3-4年经验,1.5-2万/月
754,2021-12-23 15:40:06,成都-金牛区,Python开发工程师,大专,3-4年经验,1.2-1.5万/月
755,2021-12-23 15:09:16,上海-杨浦区,高级Python开发工程师 (MJ000571),本科,5-7年经验,2.5-3.5万/月
756,2021-12-23 15:08:49,杭州-滨江区,Python开发工程师,本科,2年经验,1.5-2.5万/月
757,2021-12-23 14:33:52,武汉-洪山区,交付开发工程师（python）,本科,3-4年经验,1.1-1.7万/月
758,2021-12-23 14:08:11,上海-虹口区,Python开发工程师,本科,1年经验,1.2-2万/月
759,2021-12-23 14:00:29,重庆-渝中区,Python开发工程师,大专,3-4年经验,1-1.3万/月
760,2021-12-23 13:47:37,上海-浦东新区,高级量化交易系统开发工程师（Python）,本科,3-4年经验,3-3.5万/月
761,2021-12-23 13:17:52,重庆-渝北区,Python初级开发工程师,本科,1年经验,6-8千/月
762,2021-12-23 12:38:28,昆山,Python软件开发工程师,大专,2年经验,1-2万/月
763,2021-12-23 11:43:52,南京,Python开发工程师HD,大专,3-4年经验,1.5-3万/月
764,2021-12-23 11:37:42,成都,Python开发工程师（双休 五险一金）,本科,1年经验,1-1.5万/月
765,2021-12-23 11:31:46,广州-番禺区,Python开发工程师,本科,2年经验,0.7-1万/月
766,2021-12-23 11:30:40,济南-历下区,Python开发工程师,本科,3-4年经验,0.8-1.5万/月
767,2021-12-23 11:22:36,苏州-工业园区,数据工程师python,大专,5-7年经验,1.3-1.6万/月
768,2021-12-23 11:04:06,苏州-工业园区,Python高级开发工程师,本科,5-7年经验,2-3万/月
769,2021-12-23 10:52:43,北京-西城区,Python软件工程师,本科,3-4年经验,2-2.5万/月
770,2021-12-23 10:47:34,广州-番禺区,Python开发工程师,大专,1年经验,6-8千/月
771,2021-12-23 10:30:48,北京,Python开发工程师,本科,1年经验,1.5-2万/月
772,2021-12-23 10:19:35,青岛-黄岛区,Python 开发工程师,本科,无需经验,6-8千/月
773,2021-12-23 09:57:13,上海,外企Python开发工程师,大专,1年经验,1.5-2万/月
774,2021-12-23 09:54:58,成都-武侯区,Python开发工程师,大专,3-4年经验,1-1.5万/月
775,2021-12-23 09:54:31,深圳-罗湖区,python高级爬虫工程师,大专,3-4年经验,2-3万/月
776,2021-12-23 09:54:31,深圳-罗湖区,Python开发工程师（爬虫）,大专,3-4年经验,2-3万/月
777,2021-12-23 09:53:55,广州-黄埔区,Python开发工程师,本科,3-4年经验,2-2.5万/月
778,2021-12-23 09:40:10,上海-长宁区,Python开发工程师,本科,2年经验,1.4-2万/月
779,2021-12-23 09:33:15,上海-嘉定区,Python开发工程师,本科,3-4年经验,0.8-1.3万/月
780,2021-12-23 09:23:43,广州-天河区,软件工程师（C++/Python/go/lua）,大专,2年经验,0.8-1.3万/月
