机构编号,医疗机构名称,医疗机构等级,医疗机构类型,医疗机构地址
H11010502155,北京联合大学师范学院医务室,未定级,医务室,北京市朝阳区安外外馆斜街5号
H11010502156,北京市朝阳区高碑店街道甘露园社区卫生服务站,未定级,社区卫生服务站,北京市朝阳区康家园小区1号楼旁
H11010502157,中国传媒大学门诊部,未定级,综合门诊部,北京市朝阳区东郊定福庄南里七号
H11010502158,中央美术学院医务室,未定级,医务室,北京市朝阳区花家地南街8号
H11010502181,中日友好医院,三级,综合医院,北京市朝阳区樱花园东街;北京市朝阳区双泉堡甲2号；北京市朝阳区文学馆路47
H11010503042,北京市朝阳区东坝福寿苑养老照料中心医务室,未定级,医务室,北京市朝阳区东坝焦庄甲88号
水碓子东路甲22号
H11010502915,北京朝阳中西医结合医院,一级,中西医结合医院,北京市朝阳区芍药居北里315号楼26号~32号
河南路16号1幢、2幢（2、3、4层）
H11010503045,北京天使望京妇儿医院,一级,其他专科医院,北京市朝阳区石佛营西里36号楼
H11010502916,北京圣马克医院,二级,综合医院,北京市朝阳区东四环南路53号院5号楼（-1-15层）、6号楼（1层、2层、4层、5层）
H11010503046,北京首厚康健永安养老有限公司医务室,未定级,医务室,北京市朝阳区农展馆北路甲5号3号楼
H11010502917,北京精诚博爱医院,二级,综合医院,北京市朝阳区崔各庄乡南皋路188号
H11010601205,北京丰台右安门医院,三级,综合医院,北京市丰台区右安门外大街199号
H11010502918,北京光熙康复医院,二级,康复医院,北京市朝阳区光熙门北里22号北楼
H11010601207,北京市丰台中西医结合医院,三级,中西医结合医院,北京市丰台区长辛店东山坡三里甲60号、北京市丰台区长辛店东山坡三里63号院
H11010502919,北京优联医院,三级,综合医院,北京市朝阳区东四环南路53号院1号楼1层部分、3至11层部分
H11010502928,北京和谐康复医院,一级,康复医院,北京市朝阳区孙河乡顺黄路南侧158号
H11010601209,北京中医药大学东方医院,三级,中医（综合）医院,北京市丰台区方庄芳星园一区六号
H11010601210,国家电网公司北京电力医院,三级,综合医院,北京市丰台区太平桥西里甲一号
H11010502941,中国人民解放军战略支援部队特色医学中心,三级,综合医院,北京市朝阳区安翔北里9号
H11010601211,首都医科大学附属北京天坛医院,三级,综合医院,北京市丰台区南四环西路119号
H11010502976,北京市朝阳区高碑店地区西店社区卫生服务站,未定级,社区卫生服务站,北京市朝阳区高碑店地区西店村15号楼28号
H11010502977,北京仁安医院,一级,综合医院,北京市朝阳区垡头翠成馨园339号楼1层115-122号、2层227-256号、3层327-356号、4层425-440号
H11010502994,北京市朝阳区劲松第二社区卫生服务中心,未定级,社区卫生服务中心,北京市朝阳区劲松南路9号
H11010502996,北京市朝阳区八里庄街道罗马嘉园社区卫生服务站,未定级,社区卫生服务站,北京市朝阳区朝阳北路107号院8号公建
H11010502998,北京市朝阳区建外第二社区卫生服务中心,未定级,社区卫生服务中心,北京市朝阳区景华南街5号01层101内17/18/19/20单元、02层201内18/20单元、金桐西路12号01层101内F1-30及F1-31单元
H11010502999,解放军总医院京中医疗区苇子坑门诊部,未定级,综合门诊部,北京市朝阳区安翔北里10号；海淀区安宁庄东路28号总装小营住宅区
H11010503021,北京市朝阳区中医医院,二级,中医（综合）医院,北京市朝阳区工体南路6号
H11010503026,北京市朝阳区十八里店地区十八里店社区卫生服务站  北京市朝阳区十八里店乡十八里店村卫生室,未定级,社区卫生服务站,北京市朝阳区十八里店乡周家庄中路6号院4号楼一、二层裙房
H11010503038,北京市红十字会救援服务中心,未定级,急救中心,北京市朝阳区德外清河东路2号
H11010503041,北京市朝阳区六里屯街道道家园社区卫生服务站,未定级,社区卫生服务站,北京市朝阳区道家园甲4号
H11010601213,北京丰台建都中西医结合医院,二级,中西医结合医院,北京市丰台区南顶路4号
H11010601214,北京丰台医院,二级,综合医院,丰台区丰台镇西安街1号，丰台区丰台南路99号
H11010601216,北京汇安中西医结合医院,二级,中西医结合医院,北京市丰台区马家堡西路26号院1号楼
H11010601217,北京市丰台区妇幼保健计划生育服务中心（北京市丰台区妇幼保健院）,二级,妇幼保健院,北京市丰台区开阳里三区一号/北京市丰台区风格与林苑甲37号楼/北京市丰台区南苑路7号
H11010601218,北京市丰台区老年人协会莲花池康复医院,二级,康复医院,北京市丰台区莲宝路2号
H11010601219,北京市丰台区中医医院（北京市丰台区南苑医院）,二级,中医（综合）医院,丰台区南苑镇公所胡同3号
H11010601220,北京市丰台区铁营医院,二级,综合医院,北京市丰台区永外横七条1号
H11010601221,北京市红十字会和平骨科医院,二级,骨科医院,北京市丰台区丰台路口东里198号
H11010601222,中国航天科工集团七三一医院,三级,综合医院,北京市丰台区云岗镇岗南里三号
H11010601226,北京东方京城中医医院,一级,中医（综合）医院,北京市丰台区西四环南路60号
H11010601227,北京丰台阜仁眼科医院,一级,眼科医院,北京市丰台区太平桥东里24号院
H11010601228,北京丰台广济中西医结合医院,一级,中西医结合医院,丰台区花乡纪家庙
H11010601229,北京丰台国康中西医结合医院,一级,中西医结合医院,北京市丰台区靛厂村甲410号
H11010601230,北京市丰台区明颐宏医院,一级,综合医院,北京市丰台区大井东里1号院
H11010601231,北京丰台三路居中西医结合医院,一级,中西医结合医院,北京市丰台区西客站南路南口丽泽雅园E座
H11010601232,北京丰台体坛中医医院,一级,中医（综合）医院,北京市丰台区方庄芳城园1区1号楼
H11010601233,北京丰台医星中西医结合医院,一级,中西医结合医院,丰台区东大街游泳场北路甲9号
H11010601234,北京丰台银龄中医医院,一级,中医（综合）医院,北京市丰台区五里店706号
H11010601235,北京丰台长城医院,一级,综合医院,北京市丰台区杜家坎南路10号院B座北侧
H11010601236,北京丰台中康中西医结合医院,一级,中西医结合医院,北京市丰台区西罗园四区34号
H11010601237,北京丰台众仁堂中医医院,一级,中医（综合）医院,北京市丰台区新村四里26号
H11010601312,丰台区大红门街道海上海花园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区马家堡东路168号院19号楼一层
H11010601238,北京丰益肛肠医院,一级,中医（综合）医院,北京市丰台区丰管路22号
H11010601356,北京市丰台区二七南社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区长辛店崔村二里18号
H11010601313,丰台区大红门街道世华水岸社区卫生服务站,未定级,社区卫生服务站,丰台区光彩路72号院院外2号楼
H11010601239,北京华坛中西医结合医院,二级,中西医结合医院,北京市丰台区育菲园东里4号
H11010601357,北京市丰台区方庄社区卫生服务中心,一级,社区卫生服务中心,丰台区方庄芳群园三区一号
H11010601342,丰台区大红门街道珠江骏景社区卫生服务站,未定级,社区卫生服务站,丰台区永外果园43号骏景园北区5号楼101-102室
H11010601240,北京仲博中医医院,一级,中医（综合）医院,北京市丰台区育芳园东里2号楼
H11010601358,北京市丰台区丰台街道东大街社区卫生服务站,未定级,社区卫生服务站,北京市丰台区东大街东里15号楼二层、三层
H11010601343,丰台区大红门街道西罗园南里社区卫生服务站,未定级,社区卫生服务站,丰台区大红门街道西罗园南里华运小区38-1104号
H11010601241,北京开阳中医医院,一级,中医（综合）医院,北京市丰台区右安门外东三条1号
H11010601344,丰台区大红门街道西马小区社区卫生服务站,未定级,社区卫生服务站,丰台区大红门西马厂南里二区12号楼
H11010601359,北京市丰台区丰台街道丰益花园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区丰管路1号院12号楼北侧邮编：100071
H11010601242,北京市丰台区大红门街道海慧寺社区卫生服务站,未定级,社区卫生服务站,北京市丰台区海慧寺1号南院
H11010601345,北京市丰台区东高地街道西洼地社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南苑东路5号
H11010601360,北京市丰台区丰台街道南开西里社区卫生服务站,未定级,社区卫生服务站,北京市丰台区丰台镇桥南看丹路30号
H11010601243,北京市丰台区大红门街道京温社区卫生服务站,未定级,社区卫生服务站,北京市丰台区海户屯165号
H11010601361,北京市丰台区花乡樊家村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区新村三里8号楼南楼东侧1-2层
H11010601346,北京市丰台区东高地社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区东高地南平房3号
H11010601244,北京市丰台区大红门街道南顶路社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南顶路23号
H11010601362,北京市丰台区花乡黄土岗村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡黄土岗村94号
H11010601245,北京市丰台区大红门街道角门社区卫生服务站,未定级,社区卫生服务站,北京市丰台区西马场路6号院1号楼1层3单元商业5
H11010601350,北京市丰台区东铁营街道南方庄社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南方庄2号院1号楼106/107/108/109/110室，丰台区方庄芳星园三区20号楼商业1层20-5
H11010601363,北京市丰台区花乡社区卫生服务中心（北京市丰台区花乡医院）,一级,社区卫生服务中心,北京市丰台区花乡纪家庙168号
H11010601351,北京市丰台区东铁营街道四方景园社区卫生服务站,未定级,社区卫生服务站,"北京市丰台区四方景园五区3号楼104、105、106,1号楼1层、5层"
H11010601311,北京市丰台区南苑乡大红门村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南苑乡久敬庄路锦苑小区4号商业楼一层
H11010601364,北京市丰台区花乡六圈村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡六圈村
H11010601352,北京市丰台区东铁营街道政馨园社区卫生服务站,未定级,社区卫生服务站,"北京市丰台区政馨园二区2号楼1层02,03"
H11010601365,北京市丰台区花乡榆树庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡榆树庄村88号
H11010601366,北京市丰台区花乡高立庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡高立庄南路9号院18号楼
H11010601367,北京市丰台区花乡羊坊村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡羊坊花园小区2号院5号楼一层
H11010601368,北京市丰台区花乡看丹村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡看丹村170号
H11010601369,北京市丰台区花乡天骄俊园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区潘家庙路9号院17号楼109、110、111
H11010601370,北京市丰台区花乡草桥村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区草桥欣园乙10号楼
H11010601371,北京市丰台区花乡郭公庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡郭公庄村353号
H11010601372,北京市丰台区花乡新发地村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡新发地村1号
H11010601373,北京市丰台区看丹老年公寓医务室,未定级,医务室,北京市丰台区永合庄1号院
H11010601433,北京市丰台区卢沟桥乡大井村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区程庄南里一号楼4层
H11010601374,北京市丰台区康助护养院医务室,未定级,医务室,北京市丰台区长辛店光明里74号
H11010601434,北京市丰台区卢沟桥乡小屯村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区小屯村小屯西路甲3号
H11010601435,北京市丰台区卢沟桥乡万泉寺村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区柳村路9号院10号楼裙房一层
H11010601375,北京市丰台区卢沟桥街道莲花池西里社区卫生服务站,未定级,社区卫生服务站,北京市丰台区莲花池西里6号院17号楼1层南侧
H11010601436,北京市丰台区卢沟桥乡六里桥村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区六里桥莲怡园二区2号楼一层南区
H11010601377,北京市丰台区卢沟桥街道丰体时代社区卫生服务站,未定级,社区卫生服务站,北京市丰台区丰体南路1号院11幢1层101
H11010601439,北京市丰台区卢沟桥乡马连道村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡马连道村
H11010601379,北京市丰台区卢沟桥街道六里桥北里社区卫生服务站,未定级,社区卫生服务站,北京市丰台区马官营服装公司宿舍楼前
H11010601440,北京市丰台区卢沟桥乡郑常庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区靛厂路50号院2号楼一层
H11010601380,北京市丰台区卢沟桥街道假日万恒社区卫生服务站,未定级,社区卫生服务站,北京市丰台区小屯西路66号院3号楼1层1-商业01
H11010601443,北京市丰台区卢沟桥乡张仪村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡张仪村87号
H11010601393,北京市丰台区卢沟桥乡小井村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡小井村87号
H11010601450,北京市丰台区马家堡社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区马家堡嘉园二里14号
H11010601427,北京市丰台区卢沟桥乡岳各庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区西四环中路112号3---1号楼底商
H11010601452,北京市丰台区马家堡街道瑞丽江畔社区卫生服务站,未定级,社区卫生服务站,北京市丰台区马家堡西路28号院8号楼
H11010601429,北京市丰台区卢沟桥乡小瓦窑村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡小瓦窑村
H11010601458,北京市丰台区南苑乡南苑村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南苑五爱屯西街25号
H11010601430,北京市丰台区卢沟桥乡太平桥村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区太平桥华源一里8号院（北门太平桥183号）
H11010601431,北京市丰台区卢沟桥乡西局村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡西局村
H11010601432,北京市丰台区卢沟桥乡大瓦窑村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥乡大瓦窑村343号
H11010601554,北京市丰台区新村街道新村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区葛村西里1号（北京市三环英和医院一层西侧）
H11010601460,北京市丰台区南苑乡石榴庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南苑乡石榴庄村
H11010601555,北京市丰台区新村街道枫泽园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区樊家村甲4号院7号楼1层
H11010601534,北京市丰台区王佐乡庄户村社区卫生服务站（北京市丰台区王佐乡庄户村卫生所）,未定级,社区卫生服务站,北京市丰台区王佐乡庄户村
H11010601467,北京市丰台区南苑乡新宫村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区南苑乡新宫村
H11010601556,北京市丰台区新村社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区首经贸北路8号4号楼；北京市丰台区西三环南路1号
H11010601535,北京市丰台区王佐镇魏各庄社区卫生服务站,未定级,社区卫生服务站,北京市丰台区王佐镇鑫湖家园35号楼
H11010601557,北京市丰台区馨园老年公寓医务室,未定级,医务室,北京市丰台区马家楼桥北花神街公园内
H11010601538,北京市丰台区王佐镇自然城社区卫生服务站,未定级,社区卫生服务站,丰台区王佐镇自然城居住区A1号
H11010601469,北京市丰台区南苑乡鑫福里社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区永外鑫福里小区甲6号
H11010601541,北京市丰台区王佐镇西庄店社区卫生服务站,未定级,社区卫生服务站,北京市丰台区王佐镇西庄店村甲2号
H11010601558,北京市丰台区幸福里养老中心医务室,未定级,医务室,北京市丰台区程庄路3号
H11010601474,北京市丰台区蒲黄榆社区卫生服务中心,一级,社区卫生服务中心,丰台区蒲安西里16号
H11010601543,北京市丰台区王佐镇社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区王佐镇西王佐356号
H11010601485,北京市丰台区太平桥街道六里桥南里社区卫生服务站,未定级,社区卫生服务站,"北京市丰台区华源一里9号楼底商D132,133,134号,北京市丰台区华源一里甲1号楼1层"
H11010601559,北京市丰台区颐养康复养老照护中心医务室,未定级,医务室,北京市丰台区南方庄2号院3号楼2层3-6
H11010601544,北京市丰台区王佐镇佃起村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区王佐乡佃起村
H11010601488,北京市丰台区太平桥街道三路居社区卫生服务站,未定级,社区卫生服务站,丰台区凤凰嘴甲6号
H11010601546,北京市丰台区温馨精康园医务室,未定级,医务室,北京市丰台区长辛店镇大灰厂东路11号
H11010601560,北京市丰台区右安门翠林敬老院医务室,未定级,医务室,北京市丰台区右安门翠林二里9号楼
H11010601518,北京市丰台区铁营街道赵公口社区卫生服务站,未定级,社区卫生服务站,北京市丰台区赵公口24楼1层
H11010601561,北京市丰台区右安门社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区右安门外开阳里二街5号
H11010601522,北京市丰台区铁营社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区横一条甲18号院3号楼
��北路8号院1号楼1层101、2层101跃
H11010601562,北京市丰台区云岗街道大灰厂社区卫生服务站,未定级,社区卫生服务站,北京市丰台区大灰厂路1号
H11010601552,北京市丰台区西罗园社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区西罗园一区26号楼
H11010601526,北京市丰台区宛平社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区晓月苑清音街1号
H11010601564,北京市丰台区长辛店乡张家坟村卫生所,未定级,村卫生室,北京市丰台区长辛店乡张家坟村
H11010601553,北京市丰台区新村街道鸿业兴园社区卫生服务站,未定级,社区卫生服务站,丰台区鸿业兴园二区2号楼二层东侧
H11010601530,北京市丰台区王佐乡南岗洼村卫生所,未定级,卫生所（室）,北京市丰台区王佐乡南岗洼村
H11010601571,北京市丰台区长辛店镇李家峪村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区长辛店乡李家峪村
H11010601578,北京市丰台区长辛店镇太子峪村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区长辛店乡太子峪村6号
H11010601580,北京市丰台区长辛店镇张郭庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区长辛店乡张郭庄村43号
H11010601584,北京市丰台区长辛店镇赵辛店村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区长辛店镇赵辛店村
H11010601597,北京市三环英和医院,一级,综合医院,北京市丰台区葛村西里一号
H11010601600,北京西鹤年堂中医医院,一级,中医（综合）医院,北京市丰台区嘉园路大台子9号
H11010601601,北京西京中医医院,一级,中医（综合）医院,北京市丰台区丰管路甲5-9号
H11010601602,北京瑶医医院,一级,其他民族医院,北京市丰台区海鹰路六号院31号楼
H11010601603,首都经济贸易大学西校区门诊部,未定级,综合门诊部,北京市丰台区张家路口121号
H11010601604,丰台区长辛店大街社区卫生服务站,未定级,社区卫生服务站,长辛店大街甲262号
H11010601642,丰台区宛平街道宛平社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥北里4楼西侧平房
H11010601643,丰台区王佐镇南宫社区卫生服务站,未定级,社区卫生服务站,丰台区王佐镇南宫社区10号楼对面
H11010601644,丰台区西罗园街道西罗园社区卫生服务站,未定级,社区卫生服务站,丰台区西罗园三区中心花园西北角
H11010601605,北京瑞京糖尿病医院,一级,其他专科医院,北京市丰台区石榴园南里15号3幢
H11010601645,丰台区西罗园街道西罗园四区社区卫生服务站,未定级,社区卫生服务站,丰台区西罗园四区15号楼西1、2号
H11010601606,北京恩生堂刘家窑中医医院,一级,中医（综合）医院,北京市丰台区东铁营街道顺四条甲63号
H11010601646,丰台区西罗园街道洋桥北里社区卫生服务站,未定级,社区卫生服务站,丰台区洋桥北里小区38号楼一层东侧
H11010601607,丰台区东高地街道万东社区卫生服务站,未定级,社区卫生服务站,丰台区东高地南街甲1号
H11010601649,丰台区西罗园街道洋桥西里社区卫生服务站,未定级,社区卫生服务站,北京市丰台区洋桥西里29号楼前商用房
H11010601608,丰台区东高地街道益丰园社区卫生服务站,未定级,社区卫生服务站,丰台区东高地益丰园小区东侧
H11010601652,丰台区新村街道银地社区卫生服务站,未定级,社区卫生服务站,丰台区银地家园26号楼一层
H11010601610,丰台区东铁营街道铁营社区卫生服务站,未定级,社区卫生服务站,北京市丰台区宋家庄顺八条8号院一区3号楼
H11010601653,丰台区新村街道富锦嘉园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区新村街道富锦嘉园二区9号楼一层
H11010601612,丰台区东铁营街道成寿寺社区卫生服务站,未定级,社区卫生服务站,北京市丰台区宋庄路红狮家园北区三号楼一单元一层；北京市丰台区东铁匠营顺四条16号民乐顺欣嘉园小区3-1-101
H11010601654,丰台区新村街道怡海花园社区卫生服务站,未定级,社区卫生服务站,丰台区怡海花园底商8-9号
H11010601614,丰台区东铁营街道城外诚社区卫生服务站,未定级,社区卫生服务站,北京市丰台区苇子坑2号院10-5幢一层101室
H11010601655,丰台区新村街道科学城深富街社区卫生服务站,未定级,社区卫生服务站,丰台区韩庄子三里八号楼10号
H11010601635,丰台区卢沟桥街道莲宝路社区卫生服务站,未定级,社区卫生服务站,丰台区马官营南路6号院5-3
H11010601639,丰台区卢沟桥街道青塔第二社区卫生服务站,未定级,社区卫生服务站,北京市丰台区卢沟桥街道小屯路甲2号院商4-2、商4-3
H11010601640,丰台区太平桥街道顺驰蓝调社区卫生服务站,未定级,社区卫生服务站,丰台区三路居路88号院4号楼1单元104
H11010601682,丰台区马家堡街道马家堡社区卫生服务站,未定级,社区卫生服务站,丰台区马家堡西里53号
H11010601658,丰台区新村街道丰西社区卫生服务站,未定级,社区卫生服务站,丰台区丰西电力机社区
H11010602521,北京市木材厂职工医院,一级,综合医院,北京市丰台区大红门西路4号
H11010601661,丰台区长辛店街道奥林匹克花园社区卫生服务站,未定级,社区卫生服务站,丰台区长兴路12号中奥家园一区3号楼底商101
H11010602522,北京市丰台区精神病防治院,二级,其他专科疾病防治院,北京市丰台区南苑镇五爱屯东路南苑机电厂南侧小院
H11010601662,丰台区长辛店街道玉皇庄社区卫生服务站,未定级,社区卫生服务站,丰台区长辛店东南街134号
H11010602523,北京航天总医院,三级,综合医院,北京市丰台区东高地万源北路7号
H11010601664,丰台区长辛店街道杜家坎社区卫生服务站,未定级,社区卫生服务站,北京市丰台区长辛店玉皇庄教师楼附属平房
H11010602524,北京市丰台区南苑社会福利中心医务室,未定级,医务室,北京市大兴区旧宫镇庑殿路28号
H11010601665,丰台区长辛店街道珠光御景嘉园社区卫生服务站,未定级,社区卫生服务站,丰台区长云路2号院珠光御景嘉园10号楼02、03号铺
H11010602527,首都医科大学附属北京佑安医院,三级,传染病医院,北京市丰台区右安门外西头条8号
H11010601668,丰台区长辛店街道张家坟社区卫生服务站,未定级,社区卫生服务站,北京市丰台区张家坟东里5楼75号
H11010602530,北京市丰台区大红门街道木材厂社区卫生服务站,未定级,社区卫生服务站,北京市丰台区马家堡东路108号院1号楼1层
H11010601670,丰台区长辛店街道崔村一里社区卫生服务站,未定级,社区卫生服务站,丰台区长辛店崔村一里44楼北侧
H11010602541,北京博仁医院,二级,综合医院,北京市丰台区郑王坟6号A、B、C座
H11010601673,丰台区长辛店镇大灰厂第一社区卫生服务站,未定级,社区卫生服务站,丰台区长辛店大灰厂462号
H11010602542,北京同仁堂第二中医医院,一级,中医（综合）医院,北京市丰台区南三环中路20号
H11010601681,丰台区马家堡街道角门东里社区卫生服务站,未定级,社区卫生服务站,丰台区马家堡角门东里1号院
H11010602547,北京市丰台区云岗社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区云岗街道南区20号楼
H11010602563,北京市丰台区卢沟桥街道建邦枫景社区卫生服务站,未定级,社区卫生服务站,北京市丰台区双林东路105号院1号楼101-105室
H11010602576,北京市丰台区长辛店镇社区卫生服务中心,一级,社区卫生服务中心,北京市丰台区射击场路23号
H11010602577,北京长峰医院,二级,综合医院,北京市丰台区靛厂新村291号
H11010602579,北京博爱医院,三级,综合医院,北京市丰台区角门北路10号
H11010602586,丰台区南苑街道南庭新苑社区卫生服务站,未定级,社区卫生服务站,丰台区南苑槐房西路318号院20号楼
H11010602587,丰台区东高地街道东高地社区卫生服务站,未定级,社区卫生服务站,丰台区东高地62栋北侧平房
H11010602589,北京市丰台区花乡葆台村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡葆台村
H11010602590,丰台区方庄街道芳群园社区卫生服务站,未定级,社区卫生服务中心,北京市丰台区方庄芳群园1区14号楼甲
H11010602591,丰台区和义街道南苑北里社区卫生服务站,未定级,社区卫生服务站,丰台区南苑北里社区第二社区居委会旁
H11010602592,丰台区和义街道和义西里社区卫生服务站,未定级,社区卫生服务站,北京市丰台区大红门南路58号
H11010602548,丰台区花乡育芳园社区卫生服务站,未定级,社区卫生服务站,丰台区花乡育芳园小区39号
H11010602549,丰台区云岗街道北区社区卫生服务站,未定级,社区卫生服务站,北京市丰台区云岗北区静欣园6号
H11010602550,首都医科大学校医院,未定级,综合医院,北京市丰台区右安门外西头条10号
H11010602551,北京市丰台区卢沟桥国医社区卫生服务中心（北京市丰台区卢沟桥国医院）,一级,社区卫生服务中心,北京市丰台区西局南街137号院8号楼
H11010602552,丰台区新村街道明春苑社区卫生服务站,未定级,社区卫生服务站,北京市丰台区新村街道明春苑社区卫生服务站
H11010602554,丰台区云岗街道南区社区卫生服务站,未定级,社区卫生服务站,北京市丰台区云岗北区北里7号
H11010602555,北京市丰台区卢沟桥社会福利中心医务室,未定级,医务室,北京市丰台区卢沟桥乡小郭庄83号
H11010602556,丰台区花乡纪家庙社区卫生服务站,未定级,社区卫生服务站,北京市丰台区纪家庙8号
H11010602559,丰台区方庄街道芳星园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区芳星园二区十九号楼
H11010602560,北京市丰台区大红门社区卫生服务中心,未定级,社区卫生服务中心,丰台区大红门东后街156号
H11010602593,丰台区右安门街道翠林社区卫生服务站,未定级,社区卫生服务站,丰台区翠林小区二里1号楼
H11010602594,北京六一八厂医院（北京市丰台区朱家坟社区卫生服务中心）,一级,综合医院,北京市丰台区朱家坟
H11010602595,北京市丰台区花乡四合庄村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区花乡四合庄村180号
H11010602596,丰台区南苑街道诚苑社区卫生服务站,未定级,社区卫生服务站,北京市丰台区诚苑南里1号楼
H11010602597,丰台区东高地街道东营房社区卫生服务站,未定级,社区卫生服务站,丰台区东高地菊源北里5号
H11010602598,丰台区方庄街道芳城东里社区卫生服务站,未定级,社区卫生服务站,丰台区左安门外紫芳园二区5号楼3单元103号
H11010602599,丰台区右安门街道玉林社区卫生服务站,未定级,社区卫生服务站,丰台区右安门外玉林里38号楼
H11010602607,丰台区东高地街道万源路社区卫生服务站,未定级,社区卫生服务站,丰台区万源路文化广场东侧平房
H11010602610,丰台区右安门街道东庄社区卫生服务站,未定级,社区卫生服务站,北京市丰台区右安门外东庄七号楼平房
H11010602611,北京博爱堂中医医院,一级,中医（综合）医院,北京市丰台区开阳路一号瀚海花园大厦一层
H11010602968,丰台区卢沟桥街道青塔东里社区卫生服务站,未定级,社区卫生服务站,丰台区青塔东里七号院15楼1门1号
H11010602969,丰台区卢沟桥街道五里店社区卫生服务站,未定级,社区卫生服务站,丰台区五里店南里10号楼
H11010602970,丰台区卢沟桥街道青塔社区卫生服务站,未定级,社区卫生服务站,丰台区青塔小区秀园13号楼201号
H11010602971,丰台区卢沟桥街道京铁家园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区京铁家园二区三号楼一层
H11010602985,丰台区大红门街道丰和府社区卫生服务站,未定级,社区卫生服务站,北京市丰台区榴乡路84号院27号楼102号
H11010603012,北京市丰台区丰台社区卫生服务中心,未定级,社区卫生服务中心,北京市丰台区永善里1号楼
H11010603022,丰台区丰台街道丽泽景园社区卫生服务站,未定级,社区卫生服务站,北京市丰台区丰益桥西益泽路1号丽泽景园16号楼
H11010603023,丰台区丰台街道东大街西里社区卫生服务站,未定级,社区卫生服务站,丰台区庄维花苑9号楼
H11010603024,丰台区丰台街道泥洼社区卫生服务站,未定级,社区卫生服务站,丰台区前泥洼小区二区10号楼二层
H11010603025,丰台区丰台街道彩虹嘉园社区卫生服务站,未定级,社区卫生服务站,丰台区彩虹嘉园1607#楼一层
H11010602634,北京市丰台区新村街道北京方向社区卫生服务站,未定级,社区卫生服务站,北京市丰台区郭公庄中街20号院7号楼南侧一层、二层。
H11010602636,北京市丰台区卢沟桥乡周庄子村社区卫生服务站,未定级,社区卫生服务站,北京市丰台区丰管路甲5-10号楼一层
