price,introduction,icon
13.60,epcbook 快充一拖三数据线多功能三合一type-c适用于苹果X安卓华为小米多头充电器线伸缩 【太空灰】苹果安卓type-c三合一充电线 标配,epcbook旗舰店
32.80,品胜 数据线三合一66W超级快充一拖三苹果iphone华为Type-c/安卓充电器线小米闪充车载平板 魔幻黑1.2米【苹果+安卓+type-c】3A快充,品胜PISEN自营旗舰店
36.80,品胜 数据线三合一伸缩快充线 苹果安卓typec手机车载一拖三收纳便携式充电线 适用iPhone13/12/11/8小米华为,品胜京东自营旗舰店
34.90,ESCASE 安卓数据线3米Micro USB手机充电线 适用于华为/小米/vivo//oppo/荣耀/红米/魅族 2.1A快充 直头Ci9白,ESCASE京东自营旗舰店
13.80,艾胜者 数据线三合一超级快充多功能充电器线一拖三适用苹果iPhone12华为Mate30/p40小米 一拖三【超级快充线】 1m,艾胜者旗舰店
6.80,杰梵客苹果数据线保护器手机充电器防折断创意绕线耳机防弯咬数据线绳缠绕华为/oppo/小米/11/12 纯白色【两条装】,杰梵客官方旗舰店
22.90,绿联双Type-c数据线公对公PD快充线电脑充电器线适用苹果iPad Pro/华为小米手机平板笔记本 白色1.5米,绿联旗舰店
price,introduction,icon
89.00,OLOEY 弯头PD20W数据线手游快充线适用于苹果iphone13/12手机充电线 PD20W手游快充线【2米】【苹果弯头款】,OLOEY数码配件旗舰店
22.90,倍思 一拖三数据线三合一苹果/Type-c/安卓 适用iPhone13/12/11/XS max/XR华为p20小米充电器线1.2米 蓝,倍思（Baseus）京东自营旗舰店
18.90,摩米士MOMAX Type-C数据线充电线 充电宝短线适用于华为小米三星等 10cm白色,摩米士京东自营旗舰店
29.90,CangHua 小米手表color充电器 小米color1/2代运动版磁吸快充线智能电话手表充电底座usb充电线 bp88,仓华自营官方旗舰店
33.90,倍思 三合一伸缩数据线 苹果安卓type-c一拖三快充 适用iphone13/12/11/XR小米华为车载充电器线1.2米黑,倍思（Baseus）京东自营旗舰店
20.90,毕亚兹 苹果数据线【买一送一】1.2米 12XsMax/XR/11Pro手机快充充电器线USB电源线支持iPhone13/iPad K15,毕亚兹(BIAZE)京东自营旗舰店
77.90,苹果充电器20W厡装快充PD套装苹果iPhone13/11/12ProMax手机充电头数据线IMEV 苹果20W快充头+苹果USB-C闪充线-盒装1米,IMEV京东自营旗舰店
34.90,ESCASE type-c数据线3m米加长三米充电器线华为Mate 30 Pro荣耀V30小米平板快充iphone 11 pro抗干扰Ci9白,ESCASE京东自营旗舰店
25.90,"京东超市
魅英 适用于华为手表充电器 Watch GT2充电底座gt2e磁吸智能快充荣耀magic2充电线GS GT/GT2/荣耀Magic充电座磁吸快充+5A线",魅英手机配件旗舰店
16.00,适用OPPOReno4数据线闪充reno4 pro充电线reno4se手机65W快充ACE2超琰 1米65W闪充,隆迈手机配件专营店
44.00,"京东超市
OPPO原装数据线兼容65W闪充Ace2/Reno5/R17/find K7通用type-c充电线 Type-c闪充线（65W闪充）-【晒单返5】",星悦世纪数码专营店
19.90,ROCK 苹果数据线 金属编织快充手机充电器线 支持iPhone13/12/11Pro/新SE/XS/XR/8P/7/6s/5s/iPad 1米 星空灰,ROCK自营旗舰店
129.00,图即 一拖三数据线66W超级快充6A多功能3合一手机充电线器三头适用苹果安卓type-c闪充车载 两条装【黑色1.2米】升级66W快充,图即旗舰店
29.90,绿联安卓Type-C数据线二合一快充MicroUSB充电线适用荣耀20华为P30小米89三星一加 深空灰 1米,绿联旗舰店
12.90,ESCASE Type-c数据线快充华为Mate30Pro 小米手机充电线2A适用充电器线三星S10/9充电源线C10白,ESCASE京东自营旗舰店
9.90,Type-C数据线5A超级快充充电线适用华为P40/Mate40/30Pro荣耀手机宽口好又齐 Typec超级快充1米,好又齐手机配件专营店
26.00,OPPO数据线原装闪充r15 r9 r9s r11 r11s r9plus手机充电线支持VOOC闪充 4A闪充线（Micro USB接口）,星悦世纪数码专营店
19.90,品胜 苹果数据线手机充电线PD快充iPhone13/12promax6s11/7/8xr/ipad 升级版快充｜【1米标准版】ios全兼容 安全快充,品胜数码旗舰店
168.00,OLOEY数据线三合一快充充电器一拖三车载万能5A超级快充手机多头多功能适用苹果华为type-c安卓 5A快充三合一（绅士蓝2米）+80W超级快充车载充,OLOEY数码配件旗舰店
35.00,绿联Type-C数据线6A/5A快充线充电器通用华为P50Mate40Pro/30小米11安卓手机 黑色 2米 畅玩款,绿联旗舰店
129.00,"京东超市
APPLE 苹果数据线原装pd快充20w充电器线手机充电线iPhone13promax/12/X 苹果12/pro/max/11/xr/8p （单线）type-c转闪电连接线1米",京迈数码配件专营店
38.90,京东京造 MFi认证苹果数据线快充充电线 通用iPhone13/12/11/ Xs/Xs max/Xr/X/8/7P/iPad air mini 1.2米白,京东京造官方自营旗舰店
44.00,"京东超市
OPPO原装数据线65W闪充typeC充电线r17reno7 6 5 4pro findx3x2k9 【65W闪充】OPPO原装Type-C",星悦世纪手机配件专营店
15.80,罗马仕 苹果数据线充电线2米加长手机快充充电器iPhone12/11Pro/se/Xs/XR/6s/7/8p/ipad air/mini电源线 2米,罗马仕京东自营旗舰店
22.90,唯淘帅 安卓数据线快充电线加长3米5米适用vivo三星小米华为魅族Micro接口手机 黑色 2米,苏阳数码专营店
239.00,"京东超市
AENZR雷电4数据线双头公对公type-c全功能8K视频100W充电线手机快充华为苹果mac笔记本 【雷雳4四同轴线40Gbps传输雷电3三】2m加长 编织线 联想雷电接口电",AENZR官方旗舰店
9.80,例米 适用于小米手环5\/6通用磁吸充电线运动手环5\/6NFC充电线小米六nfc充电器五代MI 黑色 深黑 默认1,例米手机配件旗舰店
12.80,品胜（PISEN）Type-C数据线 USB-C安卓手机充电线 适用华为mate30Pro荣耀OPPO /vivo小米10Pro车载线 1米白,品胜京东自营旗舰店
39.00,vivo原装type-c数据线NEX X27X30闪充X50X60快充充电线iQOOneo vivo原装type-c 3A,vivo华驰诚专卖店
25.80,网虫；NETBUG磁吸数据线苹果安卓type-c三合一快充华为/oppo/vivo/iPhone X 【幻影黑】苹果/安卓/Type-C 【一线三接头】 线长2米,科族数码专营店
35.90,【全国仓次日达】第一卫 苹果数据线 手机快充线车载ipad充电线通用于iphone11/12/7/8 店长推荐：1.2米【真金线】全新升级-认证快充,第一卫旗舰店
49.00,甜橙 手游快充线吃鸡神器弯头充电器线数据线适用苹果手机安卓华为直播抖音主播王者荣耀比赛不挡手 手游快充【Type-c口】适用于安卓,甜橙手配专营店
12.90,昊微 数据线三合一手机快充多功能一拖三充电线多头适用于苹果安卓type-c小米9华为荣耀20多用加长 幸运红 1米,昊微手机配件专营店
11.90,酷蛙 Type-c数据线5A充电线快充华为小米手机电源线荣耀8/9/vivo/oppo/一加闪充USB充电器Mate20/P30/P10车载,酷蛙（QOOWA）手机配件京东自营旗舰店
69.00,绿联 MFi认证 苹果PD20W快充数据线通用iPhone13/12/SE/11/XR/8P手机USB-C/Type-C to Lightning充电器闪充线,绿联京东自营旗舰店
46.00,三星（SAMSUNG）原装手机数据线 三星S10+/NOTE9/S8plus手机充电线 三星A60/A90Type-C接口 1米 白色,三星原装配件京东自营旗舰店
39.90,✅【限买一送一丨自营原装正品✅】苹果数据线快充【原充盒装】,索弘京东自营官方旗舰店
75.00,绿联 Type-C全功能数据线双头PD100W快充5A充电线4K投屏视频线通用苹果MacBook华为荣耀笔记本电脑小米1m,绿联京东自营旗舰店
36.00,第一卫 Type-C数据线6A超级快充66W充电线通用华为mate40Pro/P50P40荣耀小米 1.2米【66W超级快充】25分钟充满,第一卫旗舰店
20.90,"京东超市
倍思 苹果数据线加长充电器线适用iPhone11/X/XSmax/XR/8plus/12快充 苹果-1.8米-红色【充电快充用不坏】 1m以上",倍思旗舰店
75.50,"京东超市
苹果充电器20W快充线PD套装苹果iPhone11 12ProMax 13充电头数据线插头维肯 20W快充头+闪充线【30分钟充满50%】快充套装 苹果快充",维肯数码旗舰店
12.90,宝达莱 适用OPPO闪充数据线安卓R11s plus手机R15 x快充r9s加长充电线a59s充电器 通用a57 a73 a5 r9 a7x四芯加粗1米,宝达莱数码专营店
39.90,锋奥苹果数据线快充手机充电线器套装iPad线适用于iPhone11/Xs/X/8/6S/8p/7P 苹果USB1米【共发2条】,锋奥官方旗舰店
19.90,倍思Type-c数据线5A快充2条装 支持40W华为p40/mate30pro/小米/三星手机充电器 【Type-c】1.5米两条装 白色,品畅手机配件专营店
19.90,HuaWorth适用华为type-c数据线6A充电器线手机mate30/40Pro荣耀快充线 【66W超级快充】6A闪充【1米】,楠沐配件专营店
28.90,Snowkids MFi认证 苹果数据线 iphone13/12/11Pro/XsMax/XR/X/SE2/9/8/7充电线USB电源线6s/7Plus/ipad,Snowkids京东自营旗舰店
39.90,苹果充电器原裝数据线充电线手机快充插头套装iphonexs 11 7p 8plus 12/X索弘 【苹果标配5w1米套装】多一条快充【原行装】,索弘官方旗舰店
19.90,"京东超市
Type-C数据线6A超级快充66W充电线适用华为P50 P40荣耀60vivo oppo HKXA 6A闪充线66W【1米】",速美信手机配件专营店
77.90,苹果充电器20W厡装快充PD套装苹果iPhone13/11/12ProMax手机充电头数据线IMEV 苹果20W快充头+苹果USB-C闪充线-盒装1米,IMEV京东自营旗舰店
19.90,爱美声 数据线 苹果手机充电线适用iphone5/5s/6/6s/7plus/8/8PUSB充电器线 质银灰1.5米【买一送一】,爱美声数码旗舰店
13.90,斯泰克 苹果PD20W快充数据线Type-C to Lightning充电器线闪充适用于iPhone13/12/11Pro/XsMax/8P,斯泰克（STIGER）京东自营旗舰店
59.00,Anker安克 MFi认证苹果快充数据线USB-A iPhone13/12/11ProMax/XR/SE/8通用手机充电器线ipad平板 0.9m白,Anker京东自营旗舰店
37.90,"京东超市
华为原装5A数据线type-c充电器线快充P40P50P30Mate30荣耀30/pro/nova7 SuperCharge【5A闪充线】白色",嘎子数码专营店
12.90,联想来酷Type-C数据线 5A超级快充手机充电线 安卓USB-C充电器小米8/9/华为P40/Mate10/20 1米LKC0105W,联想来酷京东自营旗舰店
98.00,OLOEY四合一数据线快充一拖四手机多头多用充电器usb冲电线头适用4个安卓四个苹果type-c车载 套装【2个type-c+苹果+安卓】 +车载充,OLOEY数码配件旗舰店
39.90,适用华为充电器40W超级快充头数据线套装手机nova7/6 p30mate30/20pro荣耀豪闪原 【40W套装】40W超级快充头+5A快充线【1米】,豪启资手机配件专营店
27.80,jce适用于opporeno5数据线a92s手机k5闪充r17充电线k7快充reno7充电器线pro 【一条装当日/次日达】type-c闪充数据充电线 加长2米,jce手机配件旗舰店
16.90,小米USB-C数据线普通版100cm 适配安卓小米10pro红米10X redmi手机快速充电线 小米USB-C 100cm 白色,淘米家旗舰店
13.90,德力普 数据线三合一 苹果type-c安卓手机充电器线多功能一拖三车载平板闪充13/12/华为快充线 蒂芙尼蓝【苹果+安卓+type-c】带夜灯丨单条 1m,德力普数码旗舰店
35.00,华为OTG转接头USB手机转接数据线U盘连接转换器p40 30 mate30 20pro荣耀安卓通用 简装 OTG（type-c接口）CP73,华为进多配件专卖店
price,introduction,icon
14.80,联想来酷 5V/1A充电器通用苹果手表iPhone13/12Pro/11/SE2/华为安卓手机电源适配器USB充电头LKD1001W,来酷智生活数码京东自营旗舰店
15.90,苹果数据线PD20W快充适用iPhone12/13/11ProMax/xs/XR8手机充电器线好又齐 【苹果】20W PD快充-1米,安联手机配件专营店
9.90,驰界 三合一数据线快充一拖三苹果iphone华为Type-c/安卓小米oppo/vivo手机充电器线 【编织纹-蓝色】一拖三,佰特利手机配件专营店
9.90,华为Type-c数据线快充5A手机充电器线适用华为/荣耀/小米/红米/oppo/vivo超级快充胜粒 【华为适用】Type-C 5A快充线1米,奥瑞诚手机配件专营店
24.90,品胜 苹果数据线1.5米 适用iPhone12/11Pro/Xs Max/XR/X/8/SE加长充电线 通用苹果136/7 iPad mini,品胜京东自营旗舰店
29.00,"线下同款
摩斯维 type-c数据线5a超级快充华为p40p30小米12手机充电线头电源线安卓三星充电器线短 1.2米黑色【40w·5a闪充】充电+传输2合1 注：此款为typec接口，不",摩斯维旗舰店
23.80,【次日达加长可选】小米Type-c闪充专用充电线手机数据线,jce手机配件旗舰店
39.00,"京东超市
华为原装笔记本电脑充电线5A双头Type-C数据线公对公PD快充手机平板matebook通用65W 华为5A 双头Type-C【1米】",秦唐宋数码专营店
19.00,"京东超市
【次日达】捷部一加warp闪充充电线快充数据线9R9pro9T 8Pro 8 7t 6 6t 5 闪充线-1米",捷部（JIEBU）旗舰店
19.00,OPPO快充充电器k1 A5 A7 A9 A79 r15x适用于小米VIVO华为安卓充电头数据线 盒装,OPPO乐良数码专卖店
31.90,OKSJ 数据线三合一超级快充5A一拖三车载多功能40W充电器线苹果华为/小米/安卓二合一多用加长线 5A超级快充【苹果/安卓/Type-c】2米一拖三,OKSJ手机配件旗舰店
19.90,羽展 伸缩三合一充电线2A快充线通用苹果Type-C安卓手机iphone华为vivo小米oppo 【经典版伸缩2A快充】中国红,羽展手机配件旗舰店
128.00,OLOEY 数据线一拖三快充华为苹果安卓66W手机通用三合一车载充电器6A三头弹簧充电线mate40 【套装】6A弹簧快充线（黑色）+66w超级快充头 弹簧【一拖三】2米6A快充,OLOEY数码配件旗舰店
39.00,"京东超市
华为原装数据线5A超级快充双头Type-c笔记本电脑MateBookX/E/proD14/15充电线 华为Type-C转Type-C 5A快充线【1米】",华为翼天宏配件专卖店
19.90,绿联Type-C数据线6A/5A快充线66W快充电器通用华为P50Mate40Pro/30nova8荣耀50pro小米11USB-C安卓车载1m,绿联京东自营旗舰店
19.90,罗马仕苹果数据线快充手机usb充电器线游戏电源适用iPhone12/11/8P/Xs/iPad 2.4A苹果快充-1米 一条送一条,罗马仕数码配件旗舰店
25.00,摩斯维 一拖三数据线充电器线苹果安卓type-c小米华为荣耀oppo三星vivo三合一车载充电线 蓝色 Type-c+苹果+Micro全兼容丨线长1.5m,摩斯维旗舰店
35.90,绿联双头Type-C数据线PD100W快充线5A充电器适用iPadPro苹果Macbook华为matebook笔记本电脑USBC小米1.5m,绿联京东自营旗舰店
37.90,OKSJ 数据线三合一拖三充电器线苹果车载多功能type-c华为手机5A快充 小米/安卓/iPhone11/6 40w加长2米,OKSJ京东自营旗舰店
19.00,小米 原装USB-C数据线 普通版 适配小米10/10pro红米10X redmi手机 白色 官方标配,京东之家官方旗舰店
48.00,"京东超市
【vivo官方原装】iQOO数据线55W闪充neo快充充电线iQOO3 iqoopro iQOO胶囊闪充",酷虎数码专营店
39.00,"京东超市
倍思Type-C数据线数显66W超级快充华为充电线6A通用华为Mate40Pro/P50 数显快充type-c 66W 【1米/黑色】",倍思旗舰店
33.90,京东京造 Type-c数据线快充5A充电线3条量贩装 通用小米华为Mate30/20/10Pro/P40/30荣耀充电器线1.2米,京东京造官方自营旗舰店
69.00,图即 两条装 华为66W超级快充type-c数据线6A快充线手机充电器线华为p30mate40pro 1.5米【66W超级快充线】两条装,图即旗舰店
32.00,【苹果专用】超耐用牛仔线⚡快充高颜值⚡久用不坏质保2年,monqiqi旗舰店
13.80,苹果数据线快充适用iphone13/12/11Pro/XsMax/XR/78plus手机充电器线驰界 [苹果/平板通用] 1.5米,安联手机配件专营店
8.90,驰界适用小米数据线快充10pro/8/9se/6x/mix2s红米note7/8/k20pro充电线 【1米】Type-C 5A快充线,佰特利手机配件专营店
27.00,公牛 BULL 安卓/TYPE-C 5A快充数据线/USB-C/1.5M/适用华为/小米/vivo/OPPO,公牛数码京东自营旗舰店
9.90,驰界 Type-c数据线5A华为充电器线小米手机40w闪充荣耀9/10/Mate20/P30/P40 抹茶绿【1.2米/2条】5A Type-c快充线,佰特利手机配件专营店
39.00,vivo数据线原装S6Y50X27快充x30x50x60闪充s5S7nex手机充电器线iqoo充电线 （2A）原装双引擎闪充线【Type-C】,情景旗舰店
99.00,图即 数据线三合一充电线器弹簧伸缩一拖三快充三头适用于苹果华为安卓type-c手机多功能车载多头多用 【黑色 可拉伸2米】支持华为超级快充,图即旗舰店
69.00,"京东超市
TIDSE 苹果快充数据线PD20W充电器iPhone13\12Type-CtoLightning 苹果USB-C【1米PD20w闪充线】",TIDSE京东自营旗舰店
28.00,倍思（Baseus）苹果数据线弯头快充L型苹果充电线USB线适用于iPhoneX/10/8/6s/7Plus 2米 黑色,倍思（Baseus）京东自营旗舰店
36.00,绿联Type-C数据线5a6a华为66W超级快充弯头充电线通用华为p40/Mate40/30小米 深空灰-2米,绿联旗舰店
49.00,"京东超市
原裝苹果手机数据线PD快充头充电线适用iPhone12/11ProMax/xs/XR/8充电线维肯 【官方同款·20W快充PD线】安全认证-1米 苹果专属PD快充",维肯数码旗舰店
42.80,品胜 数据线三合一苹果Type-c安卓充电线伸缩便携一拖三快充线适用iPhone13/12/11华为 【快充不伤机丨弹窗包赔】1.2米 梦幻蓝,品胜数码旗舰店
69.00,图即 苹果数据线iPhone12手机13充电线器ipad苹果xr弯头ip游戏7p加长x快充超长闪充 【黑色1.8米】90度弯头不断线,图即旗舰店
16.80,摩米士MOMAXType-C安卓二合一数据线 炫彩编织手机快速充电线适用于华为荣耀小米三星等 1米深空灰,摩米士京东自营旗舰店
29.90,乐赢 三合一数据线手机充电线器一拖三数据线苹果华为安卓type-c手机3头多头车载多功能 液态款绿色1.2米【苹果+安卓+type-c】,乐赢旗舰店
19.90,羽展 伸缩三合一充电线2A快充线通用苹果Type-C安卓手机iphone华为vivo小米oppo 【经典版伸缩2A快充】中国红,羽展手机配件旗舰店
39.00,"京东超市
倍思Type-C数据线数显66W超级快充华为充电线6A通用华为Mate40Pro/P50 数显快充type-c 66W 【1米/黑色】",倍思旗舰店
8.90,驰界适用小米数据线快充10pro/8/9se/6x/mix2s红米note7/8/k20pro充电线 【1米】Type-C 5A快充线,佰特利手机配件专营店
89.00,OLOEY 新款5A快充一拖三流光数据线适用华为TYPE-C手机充电线器 5A快充【三合一】触控开关七彩 2米【主线1.75米+分线0.25米】流光线,OLOEY数码配件旗舰店
29.90,"京东超市
驰界苹果数据线适用iphone13/12pro/11/Xs Max/XR/8plus快充充电器线 【1米】苹果快充",驰界京东自营旗舰店
25.00,绿联 双头Type-C数据线PD60W快充线ctoc公对公充电器电源线通用苹果MacBook华为荣耀笔记本电脑Switch1米,绿联京东自营旗舰店
10.90,品胜（PISEN）苹果4s数据线 0.8米 苹果iphone4/ipad1/2/3/touch4手机充电器线,品胜京东自营旗舰店
28.90,京东京造 Type-C数据线双Type-C 5A快充 USB-C充电器线公对公适用MacBook笔记本快充充电线 1.2米白,京东京造官方自营旗舰店
66.00,"京东超市
绿联苹果20W PD快充数据线MFi认证手机Type-C通用iPhone13/12/11 Type-C转Lightning1.5米",绿联旗舰店
18.80,德力普 苹果数据线PD20W快充iPhone13/12ProMax/11/Xs/8P手机平板充电线器 标准版【1.2米】,德力普手机配件旗舰店
25.00,倍思 充电宝数据线苹果20W手机充电器线PD短款便携快充 适用于苹果iPhone13/12/11/8/XSipad 0.25米白色,倍思（Baseus）京东自营旗舰店
23.80,适用于iqoo充电线44w加长vivo z5 z1 x iqooneo3数据线s9手机充电器线jce 【次日达】type-c超快闪充1米,jce手机配件旗舰店
14.80,DIZA适用华为5A数据线Type-c手机充电线P30p40proMate30小米8/9荣耀20快充 【5A超级快充】type-c闪充线【1.2米】,品色手机配件专营店
79.00,Anker安克|航海王海贼王联名 路飞版苹果PD快充数据线MFi认证iPhone13/12/11/XR/8等闪充充电器线1.2m,Anker京东自营旗舰店
34.80,苹果充电器20W快充线PD套装适用苹果iphone13 12ProMax 11手机充电头x数据线驰界 20W苹果PD快充头+苹果PD闪充线,安联手机配件专营店
19.90,炫创飞数据线三合一适用于苹果安卓type-c华为手机通用充电线器充电宝便携USB短线 土豪金（0.25米）,爱美声旗舰店
12.90,适用华为6A数据线Type-c超级快充线66W充电器P40Mate40Pro荣耀50小米手机驰界 【6A超级闪充】Type-C充电线-1米,佰特利手机配件专营店
9.90,ZMI紫米Type-C数据线3A适用于华为荣耀nova小米8/9/10手机Redmi快充红米Note9 Pro/k30充电线AL701白,ZMI京东自营官方旗舰店
9.90,承简适用苹果数据线手机充电器线iphone12/11Pro/Xs Max/XR/SE/8plus 苹果lightning【1米 】,金合辉手机配件专营店
17.50,mijv适用于闪充OPPO数据线r17 k3 k5 Findx充电线a11x reno2手机K7快充 闪充1.5米加长款【1条装】,mijv旗舰店
19.90,松下（Panasonic）Type-C数据线5A手机快充数据线适用华为p20p40pro mate30 40三星S10/S8plus小米安卓充电线,松下（Panasonic）数码配件京东自营旗舰店
price,introduction,icon
89.00,米纶斯 一拖三充电线器6A超级快充三合一数据线苹果华为安卓手机多头闪充vivo小米oppo三用 加长2米一拖三6A超级快充【苹果安卓typeC】,米纶斯旗舰店
59.00,JoJar苹果数据线手机快充头充电器线USB电源线iPhone13/12/11 pro/XS/MAX/6s/7/8/plus/XR/Xipad平板适用,乔嘉（JoJar）京东自营旗舰店
108.90,FREEPORT苹果数据线快充抗折断编织数据线适用苹果iphone12Pro Max//11P/Xs 苹果PD18W快充编织线【1米】,FREEPORT旗舰店
8.80,梦音适用iphonex手机数据线苹果6 6sPlus7充电线pd快充ipad闪充冲Xs8p车载ios 苹果针织【快充不弹窗】红色1米 两年换新,梦音数码旗舰店
55.90,uni友壹 MFi认证苹果数据线PD快充通用iPhone13/12/11/SE3/iPad手机充电线 苹果MFi认证-PD快充-TPE亲肤 1.8米,uni旗舰店
29.00,"京东超市
摩斯维 苹果数据线充电线手机快充充电器电源线适用iPhone13/12/11/x/xr/ipad平板 1.2米-黑色【涓流快充·不伤机】充电+传输2合1 适用苹果6s/78p/xs/13promax等",摩斯维旗舰店
129.00,图即 一拖三数据线66W超级快充6A多功能3合一手机充电线器三头适用苹果安卓type-c闪充车载 两条装【黑色1.2米】升级66W快充,图即旗舰店
129.00,"京东超市
Apple苹果原装PD快充线iphone13/12ProMax/11/xs数据线PD20w头充电器线 苹果快充线1米【单线】 适用苹果13/12/11",Apple鑫京湖专卖店
23.80,巴蒂尼 一拖三流光数据线type-c安卓苹果三合一跑马灯七彩充电线车载快充oppo华为小米通用闪充线 一拖三【1.2米七彩】智能断电 快充流光,巴蒂尼旗舰店
14.80,ZMI紫米二合一Type-C数据线安卓快充充电线适用于Redmi红米k30/Note9 Pro小米9/10至尊版AL501,ZMI京东自营官方旗舰店
49.00,品胜 数据线三合一66W快充充电线器苹果13安卓Type-C手机快充线多功能线一拖三车载平板通用 66W快充|三口同充不伤机|弹窗包赔 1米深海蓝,品胜数码旗舰店
69.00,绿联 MFi认证苹果数据线PD快充通用iPhone13/12/SE/11手机Type-C充电器充电线 PD快充线【Type-C转Lightning】,绿联旗舰店
14.80,联想来酷 5V/1A充电器通用苹果手表iPhone13/12Pro/11/SE2/华为安卓手机电源适配器USB充电头LKD1001W,来酷智生活数码京东自营旗舰店
23.80,轩邑 小米数据线Type-C 6A充电线支持120W/67W超级快充适用12/11pro/10/MIX4/红米k50/k40/note9/11/平板电脑,轩邑京东自营旗舰店
29.90,绿联 Type-C数据线6A快充充电器线通用华为P50Mate40Pro/30荣耀60pro小米手机 【Type-C 6A畅玩款-1.5米黑】,绿联旗舰店
28.00,AJTL 苹果Iphone11pro max手机充电线转接头PD数据线Type-C转USB口 白色1米【支持PD快充】30分钟充50%,AJTL手机配件旗舰店
22.00,公牛（BULL）安卓数据线 USB抗折断快充数据线 适用三星小米华为/安卓手机 GNV-J5C10S 白色安卓 1米,公牛官方旗舰店
32.00,倍思 磁吸数据线Type-C 5A快充充电线 磁铁强磁USB充电器线 适用华为/小米/oppo红米魅族 1米 灰黑,倍思（Baseus）京东自营旗舰店
23.80,【次日达加长可选】小米Type-c闪充专用充电线手机数据线,jce手机配件旗舰店
29.00,倍思 苹果数据线PD快充20W充电器线Type-c转Lightning 适用iPhone13/12pro/11proXSMax/XR 0.25米 黑,倍思（Baseus）京东自营旗舰店
9.90,驯龙师 适用华为彩线充电线5A超级快充Type-C数据线P20mate荣耀v10p9p40p30器 扁圆Type-c【一条樱花粉】 1,驯龙师旗舰店
7.90,驯龙师 type-c数据线5A超级快充适用小米1s三星 华为p20p30p40手机快充tpc加长 5A 扁圆双面接口快充（1条装） 1米,驯龙师旗舰店
39.00,"京东超市
荣耀数据线原装充电线5A快充荣耀20/v20/30/V30/Pro/30s/x10/9X手机通用华为 荣耀5A（1m）",荣耀博望专卖店
5.90,驯龙师 闪充快充Type-c华为Mate20/P20/P30Pro荣耀10/V20手机5A手机数据线 超级快充Type-c【 1米】,驯龙师旗舰店
128.00,OLOEY 数据线一拖三6A快充三合一车载充电器三头弹簧华为苹果安卓66W手机通用充电线 【套装】6A弹簧快充线(黑色)+40W快充车充头 弹簧【一拖三】2米6A快充,OLOEY数码配件旗舰店
39.90,绿联 苹果数据线快充线通用iPhone13/12/11/SE2/Xs/XR手机iPad平板充电器线 MFi认证Lightning充电线 白色1米,绿联旗舰店
16.00,OPPO充电线数据线原装a59s a57 a83 k1 a7x r15x a5安卓快充电器 2A快充 2A快充(品牌原装),OPPO酷炫专卖店
23.80,适用于vivox27数据线快充iqoo x60 s9闪充z5手机x50长x30充电线器pro jce 【一条装当日/次日达】type-c闪充数据充电线 1米,jce手机配件旗舰店
26.00,"京东超市
OPPOa11x数据线快充原装充电器r17充电线k5 a72 a92s a52 reno快充安卓 USB Type-C普通版",OPPO酷炫专卖店
49.00,倍思 Type-C数据线 5A快充带功率数显 适用于苹果华为小米手机笔记本充电线 1米黑,倍思（Baseus）京东自营旗舰店
29.80,品胜 数据线三合一苹果安卓Type-c手机快充电线器多功能一拖三多头适用iPhone华为小米平板车载 【三口同充不伤机】弹窗包赔 1米深海蓝,品胜数码旗舰店
19.90,胜为 双type-c数据线PD快充100W60W快充充电器 适用于华为苹果小米手机笔记本充电线 【2米】5A超级快充 USB转Type-C 胜为,胜为线缆官方旗舰店
13.00,公牛防折断数据线tpyec充电线pd超级快充5a安卓iPhone闪充tpc华为 白色0.8米【2.4A快充-安卓】,公牛数码旗舰店
20.80,倍思 苹果数据线手机充电器线适用iphone12/11/XR/7plus/6s/8/ipad快充线 【2条装】1.5米 白色,倍思旗舰店
38.90,ZMI紫米MFi认证苹果数据线适用于iPhone13/12/8/8P/XS/11/11Pro/SE2手机6六7七ipad mini平板充电线AL813C白,ZMI京东自营官方旗舰店
9.90,ROCK 苹果数据线金属编织快充手机充电器线 支持iPhone12/11Pro/新SE/XS/XR/8Plus/7/6s/5s/iPad 0.2米星空灰,ROCK自营旗舰店
198.00,优享仕苹果12数据线三合一充电线器拖三伸缩手机快充适用华为安卓多功能万能通用多头闪充头二车载冲WT. 红色,优享仕数码专营店
44.00,"京东超市
【OPPO原装】R17闪充数据线65w充电线reno7 6 5 Pro k9 7 3手机快充电器 Type-c闪充线【兼容65W闪充】【晒单返5】",OPPO酷炫专卖店
19.90,品胜苹果数据线充电线适用iphoneX/11/12/6s/7/8/plus/iPad/PD充电器 新版快充苹果1米,品色手机配件专营店
45.00,华为原装5A数据线超级快充type-c充电器线P30P40Mate30 40pro荣耀30nova7 5A快充1米TypeC接口AP71 官方标配,京东之家官方旗舰店
44.00,"京东超市
华为原装5A数据线type-c手机充电线快充P40P20P30Mate30荣耀30pro/nova7 【5A闪充线】白色SuperCharge",品色手机配件专营店
14.90,vivo官方原装数据线X21X23X20X9X7z1u3x快充头vivoy67y85双引擎闪充充电线 Micro USB【白色1米】,钰威数码专营店
37.90,OKSJ 数据线三合一拖三充电器线苹果车载多功能type-c华为手机5A快充 小米/安卓/iPhone11/6 40w加长2米,OKSJ京东自营旗舰店
16.90,绿联 双头Type-C数据线 USB-C公对公3A PD60W快充线充电器线转接头通用iPadPro 双Type-C-黑色 0.5米,绿联维联特专卖店
